MCS Area Volume r h theta_rad theta_deg
371 2823 9739 29.9765 6.78394 0.44512 25.5035
372 2808 9750 29.8967 6.82584 0.448933 25.722
373 2817 9747 29.9446 6.80308 0.446794 25.5994
374 2841 9740 30.0719 6.7437 0.441206 25.2792
375 2835 9729 30.0401 6.7499 0.44205 25.3276
376 2844 9747 30.0878 6.74161 0.440848 25.2587
377 2850 9748 30.1195 6.72876 0.439586 25.1864
378 2856 9741 30.1512 6.71062 0.437993 25.0951
379 2859 9742 30.167 6.70458 0.437389 25.0605
380 2850 9737 30.1195 6.72141 0.439121 25.1598
381 2853 9735 30.1353 6.71334 0.438388 25.1178
382 2868 9737 30.2144 6.6812 0.435248 24.9379
383 2862 9734 30.1828 6.69255 0.436407 25.0043
384 2859 9752 30.167 6.71125 0.43781 25.0846
385 2862 9762 30.1828 6.7112 0.437585 25.0718
386 2865 9746 30.1986 6.69386 0.436268 24.9963
387 2868 9750 30.2144 6.68984 0.435794 24.9691
388 2874 9767 30.246 6.68781 0.435224 24.9365
389 2886 9787 30.3091 6.67451 0.43351 24.8383
390 2895 9765 30.3563 6.64021 0.4307 24.6773
391 2889 9755 30.3249 6.64676 0.431546 24.7258
392 2889 9768 30.3249 6.65535 0.432086 24.7567
393 2889 9789 30.3249 6.66922 0.432959 24.8067
394 2877 9770 30.2618 6.68315 0.434711 24.9071
395 2862 9766 30.1828 6.71387 0.437753 25.0814
396 2874 9790 30.246 6.70307 0.436186 24.9916
397 2874 9785 30.246 6.69975 0.435977 24.9796
398 2880 9773 30.2776 6.67849 0.434198 24.8777
399 2883 9768 30.2934 6.66856 0.433354 24.8293
400 2901 9794 30.3878 6.64618 0.430643 24.6741
401 2922 9797 30.4976 6.60253 0.426407 24.4313
402 2910 9811 30.4349 6.63771 0.429466 24.6066
403 2904 9798 30.4035 6.64226 0.430181 24.6476
404 2916 9772 30.4662 6.59913 0.426619 24.4435
405 2925 9778 30.5132 6.58365 0.425012 24.3514
406 2931 9771 30.5445 6.5662 0.423498 24.2647
407 2910 9771 30.4349 6.61147 0.427819 24.5122
408 2925 9770 30.5132 6.57842 0.424685 24.3326
409 2952 9787 30.6537 6.5319 0.419893 24.0581
410 2958 9797 30.6849 6.52569 0.419092 24.0122
411 2973 9770 30.7626 6.47679 0.415021 23.7789
412 2964 9778 30.716 6.50078 0.417128 23.8997
413 2961 9775 30.7004 6.50514 0.417605 23.927
414 2952 9791 30.6537 6.53449 0.420055 24.0674
415 2964 9797 30.716 6.51305 0.417893 23.9435
416 2982 9796 30.8091 6.47477 0.414286 23.7369
417 2958 9796 30.6849 6.52504 0.419052 24.0099
418 2955 9807 30.6693 6.5385 0.420098 24.0698
419 2976 9811 30.7781 6.49692 0.41607 23.8391
420 2943 9784 30.607 6.54905 0.421588 24.1552
421 2922 9787 30.4976 6.59599 0.425997 24.4078
422 2925 9805 30.5132 6.60129 0.426117 24.4147
423 2919 9802 30.4819 6.61228 0.42723 24.4785
424 2931 9811 30.5445 6.59229 0.42513 24.3582
425 2934 9827 30.5601 6.59627 0.425168 24.3604
426 2940 9838 30.5914 6.59055 0.42439 24.3158
427 2937 9862 30.5757 6.6126 0.425978 24.4068
428 2934 9841 30.5601 6.60538 0.425739 24.393
429 2955 9855 30.6693 6.56957 0.422036 24.1809
430 2940 9845 30.5914 6.5951 0.424675 24.3321
