MCS Volumen AContact r h theta
293 45876.0 8967.0 53.425506543317404 10.111452753877375 21.43437263797029
294 45870.0 8991.0 53.49695492902808 10.084101689798377 21.349836519695785
295 45867.0 8997.0 53.5148021204934 10.07696312181269 21.328117842549098
296 45867.0 9009.0 53.55047865920314 10.063999067422436 21.287440198728337
297 45852.0 9003.0 53.53264336190272 10.06725869925405 21.301109620507265
298 45861.0 9033.0 53.62176052591132 10.036883896760223 21.2038076874739
299 45886.0 9060.0 53.70183952924838 10.013312860906675 21.124301080817535
300 45900.0 9078.0 53.755159257288526 9.997104200020104 21.0704230966352
301 45900.0 9087.0 53.78179929820223 9.987533193666629 21.040507402268958
302 45905.0 9114.0 53.86164036379758 9.959987122475782 20.953351237354138
303 45907.0 9138.0 53.932510973878074 9.935112229681083 20.87531237515577
304 45890.0 9159.0 53.994446451068825 9.909485934428638 20.7992826243299
305 45872.0 9177.0 54.04747751291125 9.88688441774494 20.732954429755416
306 45868.0 9213.0 54.15338384082072 9.848652310967106 20.614982779826736
307 45877.0 9249.0 54.25908345442153 9.813421031463616 20.50364102254613
308 45859.0 9249.0 54.25908345442153 9.80965196207004 20.495933040039965
309 45875.0 9285.0 54.36457755944119 9.77615122913159 20.3886065276276
310 45874.0 9270.0 54.32064658050141 9.791264232654644 20.435629039669525
311 45862.0 9255.0 54.27668004429695 9.804121238808536 20.478121391709408
312 45881.0 9282.0 54.35579420409516 9.78046419052472 20.40063946767638
313 45872.0 9285.0 54.36457755944119 9.775525266232911 20.387328428748233
314 45869.0 9312.0 54.44356399193075 9.747439811608157 20.30109701229079
315 45865.0 9324.0 54.47863231375825 9.734452068302584 20.261828132822636
316 45868.0 9336.0 54.513678076349514 9.722948957693145 20.225637770906687
317 45841.0 9357.0 54.57495400842524 9.696203157848961 20.148961292079242
318 45833.0 9357.0 54.57495400842524 9.694545523665688 20.145587228323997
319 45829.0 9384.0 54.653636401878074 9.666673934043994 20.06051684005647
320 45835.0 9402.0 54.706028460307735 9.649964375792631 20.00775126210221
321 45834.0 9411.0 54.73220568253809 9.640807704977252 19.979781498587307
322 45832.0 9420.0 54.758370390756774 9.631461540161059 19.951455893769516
323 45853.0 9432.0 54.793237233124984 9.6238943266715 19.923663184555874
324 45870.0 9438.0 54.81066233683567 9.621453827775513 19.91250624368602
325 45874.0 9456.0 54.86290444147051 9.604505246897514 19.85957797883674
326 45871.0 9462.0 54.8803074250776 9.597980471032797 19.84018633282224
327 45878.0 9471.0 54.90640155798485 9.59056444018942 19.81592557988901
328 45875.0 9480.0 54.93248329560876 9.581114328122311 19.78757257598465
329 45874.0 9501.0 54.993292578569935 9.560355492407613 19.724139640357105
330 45854.0 9531.0 55.08004652519558 9.527065702570258 19.626442446345305
331 45858.0 9540.0 55.10604607657279 9.519152796224816 19.6013848983587
332 45855.0 9531.0 55.08004652519558 9.52726944838209 19.626854016793683
333 45848.0 9534.0 55.0887144057316 9.522932786550626 19.615066924762406
334 45839.0 9552.0 55.14069307532839 9.50367632458711 19.558073854861778
335 45843.0 9564.0 55.17531831772042 9.492907611318733 19.52431552170156
336 45854.0 9588.0 55.244503697021166 9.472054552800426 19.458317089561994
337 45856.0 9588.0 55.244503697021166 9.47245982641608 19.4591337250479
338 45855.0 9609.0 55.3049699063298 9.452144770331616 19.397369055795483
339 45850.0 9621.0 55.33949236281672 9.439679172928303 19.360416241613915
